Dataset name: LMR Seasonal
Dataset details: lmr_seasonal v.1_0_0 tas djf
Method(s): ['LMR_seasonal']
Lat/lon or region: 31 degN -90 degE
---
Original source URL: https://atmos.uw.edu/~zilumeng/LMR_Seasonal/index.html
New reference period: 0-1 ka
Notes: Processed by PReSto (https://paleopresto.com/)
---
Time: Year (CE)
Data: temperature (degrees Celsius)
---
Year (CE),LMR_seasonal mean (degrees Celsius)
1529.00,-0.30
1530.00,-0.23
1531.00,-0.07
1532.00,-0.03
1533.00,-0.12
1534.00,0.23
1535.00,-0.28
1536.00,-0.05
1537.00,-0.40
1538.00,-0.15
1539.00,-0.70
1540.00,-0.09
1541.00,-0.25
1542.00,-0.65
1543.00,-0.39
1544.00,-0.26
1545.00,-0.44
1546.00,-0.23
1547.00,-0.31
1548.00,-0.34
1549.00,-0.36
1550.00,-0.51
1551.00,-0.10
1552.00,-0.21
1553.00,-0.21
1554.00,-0.82
1555.00,-0.21
1556.00,-0.71
1557.00,-0.31
1558.00,-0.73
1559.00,-0.24
1560.00,-0.35
1561.00,0.22
1562.00,-0.16
1563.00,-0.30
1564.00,-0.57
1565.00,-0.45
1566.00,-0.17
1567.00,-0.35
1568.00,-0.03
1569.00,-0.28
1570.00,0.22
1571.00,0.34
1572.00,-0.15
1573.00,-0.10
1574.00,-0.04
1575.00,-0.23
1576.00,-0.06
1577.00,0.30
1578.00,-0.42
1579.00,-0.40
1580.00,0.21
1581.00,-0.15
1582.00,-0.13
1583.00,-0.27
1584.00,-0.25
1585.00,-0.02
1586.00,-0.39
1587.00,-0.55
1588.00,-0.92
1589.00,-0.58
1590.00,-0.37
1591.00,-0.54
1592.00,-0.22
1593.00,-1.19
1594.00,-0.48
1595.00,0.01
1596.00,0.28
1597.00,-0.72
1598.00,-0.08
1599.00,0.28
1600.00,-0.23
1601.00,-0.19
1602.00,-0.42
1603.00,-0.26
1604.00,0.09
1605.00,0.41
1606.00,0.50
1607.00,0.30
1608.00,-0.69
1609.00,-0.44
1610.00,-0.40
1611.00,-0.33
1612.00,-0.35
1613.00,0.03
1614.00,-0.23
1615.00,0.42
1616.00,0.54
1617.00,0.08
1618.00,0.96
1619.00,0.19
1620.00,0.63
1621.00,0.31
1622.00,0.21
1623.00,-0.21
1624.00,0.81
1625.00,0.64
1626.00,-0.17
1627.00,-0.25
1628.00,-0.20
1629.00,-0.15
1630.00,-0.38
1631.00,0.10
1632.00,-0.32
1633.00,-0.42
1634.00,-0.68
1635.00,-0.75
1636.00,-0.57
1637.00,-0.42
1638.00,-0.68
1639.00,-0.25
1640.00,-0.71
1641.00,-0.34
1642.00,-0.60
1643.00,-0.57
1644.00,-0.38
1645.00,-0.17
1646.00,-0.31
1647.00,-0.19
1648.00,-0.26
1649.00,-0.81
1650.00,-0.10
1651.00,-0.84
1652.00,-0.70
1653.00,-0.02
1654.00,0.15
1655.00,-0.17
1656.00,-0.30
1657.00,-0.52
1658.00,-0.10
1659.00,0.05
1660.00,0.16
1661.00,0.01
1662.00,0.14
1663.00,0.05
1664.00,0.36
1665.00,-0.63
1666.00,0.47
1667.00,-0.27
1668.00,-0.03
1669.00,-0.54
1670.00,0.07
1671.00,-0.03
1672.00,-0.04
1673.00,0.05
1674.00,-0.31
1675.00,-0.01
1676.00,0.39
1677.00,-0.40
1678.00,-0.19
1679.00,0.38
1680.00,0.47
1681.00,0.31
1682.00,-0.25
1683.00,-0.32
1684.00,-0.33
1685.00,0.20
1686.00,0.19
1687.00,-0.18
1688.00,0.16
1689.00,-0.45
1690.00,0.33
1691.00,0.34
1692.00,0.06
1693.00,-0.11
1694.00,0.29
1695.00,-0.20
1696.00,0.88
1697.00,0.80
1698.00,0.72
1699.00,1.15
1700.00,0.87
1701.00,0.92
1702.00,0.87
1703.00,1.03
1704.00,1.08
1705.00,0.81
1706.00,1.29
1707.00,0.57
1708.00,0.30
1709.00,0.07
1710.00,-0.33
1711.00,0.38
1712.00,-0.36
1713.00,-0.51
1714.00,-0.04
1715.00,0.14
1716.00,0.55
1717.00,0.37
1718.00,0.50
1719.00,-0.12
1720.00,0.76
1721.00,0.09
1722.00,-0.35
1723.00,-0.07
1724.00,0.03
1725.00,0.32
1726.00,-0.07
1727.00,-0.37
1728.00,-0.07
1729.00,-0.69
1730.00,0.01
1731.00,0.23
1732.00,-0.39
1733.00,-0.29
1734.00,0.66
1735.00,0.59
1736.00,0.24
1737.00,-0.07
1738.00,0.26
1739.00,-0.14
1740.00,-0.17
1741.00,-0.55
1742.00,0.02
1743.00,0.51
1744.00,1.31
1745.00,0.27
1746.00,1.53
1747.00,-0.06
1748.00,0.10
1749.00,-0.58
1750.00,-0.26
1751.00,0.30
1752.00,0.65
1753.00,0.65
1754.00,1.09
1755.00,1.63
1756.00,1.03
1757.00,0.78
1758.00,0.67
1759.00,0.63
1760.00,0.02
1761.00,-0.29
1762.00,0.06
1763.00,-0.78
1764.00,0.01
1765.00,0.04
1766.00,-0.72
1767.00,-0.11
1768.00,-0.01
1769.00,0.26
1770.00,-0.19
1771.00,-0.39
1772.00,-0.19
1773.00,0.07
1774.00,-0.22
1775.00,0.27
1776.00,-0.44
1777.00,-0.61
1778.00,-0.22
1779.00,-0.12
1780.00,-0.39
1781.00,0.01
1782.00,0.14
1783.00,-0.81
1784.00,-0.02
1785.00,-0.81
1786.00,-0.22
1787.00,-0.06
1788.00,-0.51
1789.00,-0.28
1790.00,-0.01
1791.00,-0.31
1792.00,-1.18
1793.00,-0.64
1794.00,-0.57
1795.00,-1.46
1796.00,-0.50
1797.00,-0.90
1798.00,-1.02
1799.00,0.00
1800.00,-0.46
1801.00,-1.00
1802.00,-0.33
1803.00,-1.16
1804.00,-1.33
1805.00,-0.88
1806.00,0.17
1807.00,-0.31
1808.00,-0.10
1809.00,-0.27
1810.00,0.56
1811.00,-0.27
