Dataset name: LMR
Dataset details: lmr v.2_1_0 tas annual
Method(s): ['LMR']
Lat/lon or region: 30.0 degN -90.0 degE
---
Original source URL: https://www.ncei.noaa.gov/access/paleo-search/study/27850
New reference period: 0-1 ka
Notes: Processed by PReSto (https://paleopresto.com/)
---
Time: Year (CE)
Data: temperature (degrees Celsius)
---
Year (CE),LMR mean (degrees Celsius)
820.00,0.01
821.00,0.10
822.00,-0.04
823.00,0.02
824.00,-0.06
825.00,0.06
826.00,-0.03
827.00,0.08
828.00,0.15
829.00,0.05
830.00,-0.06
831.00,0.01
832.00,0.07
833.00,0.08
834.00,0.01
835.00,-0.08
836.00,-0.06
837.00,-0.01
838.00,-0.03
839.00,-0.16
840.00,-0.04
841.00,-0.07
842.00,0.16
843.00,0.24
844.00,0.07
845.00,0.20
846.00,0.22
847.00,-0.14
848.00,0.01
849.00,-0.09
850.00,-0.04
851.00,-0.13
852.00,-0.18
853.00,-0.16
854.00,-0.20
855.00,-0.16
856.00,-0.11
857.00,-0.24
858.00,-0.15
859.00,-0.20
860.00,-0.23
861.00,-0.09
862.00,-0.07
863.00,-0.11
864.00,-0.08
865.00,-0.13
866.00,-0.17
867.00,0.02
868.00,-0.03
869.00,-0.15
870.00,-0.04
871.00,-0.18
872.00,-0.03
873.00,0.01
874.00,0.09
875.00,0.19
876.00,0.16
877.00,0.04
878.00,0.28
879.00,0.17
880.00,0.10
881.00,0.00
882.00,0.12
883.00,0.10
884.00,0.08
885.00,0.13
886.00,-0.10
887.00,0.34
888.00,0.09
889.00,0.25
890.00,0.08
891.00,0.23
892.00,0.07
893.00,-0.04
894.00,0.20
895.00,0.04
896.00,-0.03
897.00,0.18
898.00,0.05
899.00,-0.20
900.00,-0.22
901.00,-0.04
902.00,-0.11
903.00,-0.31
904.00,-0.04
905.00,-0.01
906.00,-0.12
907.00,-0.08
908.00,-0.02
909.00,0.04
910.00,-0.08
911.00,-0.01
912.00,-0.05
913.00,-0.21
914.00,-0.10
915.00,0.10
916.00,-0.15
917.00,-0.08
918.00,-0.03
919.00,-0.06
920.00,-0.06
921.00,0.00
922.00,-0.17
923.00,-0.14
924.00,-0.17
925.00,0.06
926.00,0.09
927.00,0.02
928.00,0.03
929.00,0.10
930.00,-0.01
931.00,0.02
932.00,-0.03
933.00,0.04
934.00,0.16
935.00,0.01
936.00,0.17
937.00,0.10
938.00,0.16
939.00,-0.01
940.00,-0.03
941.00,0.22
942.00,0.05
943.00,0.09
944.00,0.16
945.00,0.14
946.00,0.11
947.00,-0.01
948.00,-0.06
949.00,0.09
950.00,0.02
951.00,0.03
952.00,-0.04
953.00,0.08
954.00,-0.03
955.00,-0.08
956.00,0.04
957.00,-0.04
958.00,-0.14
959.00,-0.06
960.00,0.00
